# id	source	author	licence
grapes	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
greyhound	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
griffin	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
halberd	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
hammer	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
harp	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
hedgehog	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
horse	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
hydra	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
iris	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
key	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
lamp	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
lantern	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
leopard	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
lily	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
lion	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
lobster	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
lotus	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
lozenge	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
lute	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
lyre	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
mace	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
martlet	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
mermaid	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
millrind	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
mirror	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
moon	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
oak	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
oakleaf	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
olive	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
