id,born,x,y,seatKind,insideRealm,alive,nCity,nStateless,nRealms,freeShare,km2,blocKm2,members,lived
2,13987,140,46,seat,0,0,1,0,1,0.7333,0,0,1,10013
3,13987,140,46,seat,0,0,1,0,1,0.7333,0,0,0,1650
4,13987,140,46,seat,0,0,1,0,1,0.7333,0,0,0,113
5,13987,140,46,seat,0,0,1,0,1,0.7333,0,0,0,1650
6,14137,140,46,seat,1,0,1,0,1,0.7111,0,0,0,1500
7,14137,140,46,seat,1,0,1,0,1,0.7111,0,0,0,1800
8,14137,140,46,seat,1,0,1,0,1,0.7111,0,0,0,1800
9,14137,140,46,seat,1,0,1,0,1,0.7111,0,0,0,1800
10,14137,140,46,seat,1,0,1,0,1,0.7111,0,0,0,113
11,14137,140,46,seat,1,0,1,0,1,0.7111,0,0,0,1800
12,14287,140,46,seat,1,0,1,0,1,0.6667,0,0,0,1350
13,14287,140,46,seat,1,0,1,0,1,0.6667,0,0,0,1500
14,14287,140,46,seat,1,0,1,0,1,0.6667,0,0,0,1800
15,14287,140,46,seat,1,0,1,0,1,0.6667,0,0,0,1800
16,14287,140,46,seat,1,0,1,0,1,0.6667,0,0,0,1200
17,14287,140,46,seat,1,0,1,0,1,0.6667,0,0,0,1800
18,14437,140,46,seat,1,0,1,0,1,0.6444,0,0,0,600
19,14437,140,46,seat,1,0,1,0,1,0.6444,0,0,0,1650
20,14437,140,46,seat,1,0,1,0,1,0.6444,0,0,0,1650
21,14437,140,46,seat,1,0,1,0,1,0.6444,0,0,0,1050
22,14437,140,46,seat,1,0,1,0,1,0.6444,0,0,0,3450
23,14737,140,46,seat,1,0,1,0,1,0.6444,0,0,0,1350
24,14737,135,40,seat,0,0,3,0,3,0.9677,0,0,0,2813
25,14737,136,40,seat,0,0,1,0,1,0.8710,0,0,0,3750
26,14737,136,40,seat,0,0,1,0,1,0.8710,0,0,0,1650
27,14887,136,40,seat,0,0,1,0,1,0.4516,0,0,0,1500
28,14887,136,40,seat,0,0,1,0,1,0.4516,0,0,0,3750
